,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,PD.rbs_crank.x,PD.rbs_crank.y,PD.rbs_crank.z,PD.rbs_crank.e0,PD.rbs_crank.e1,PD.rbs_crank.e2,PD.rbs_crank.e3
293,0.0,0.0,0.0,1.0,-5.609877830197344e-25,0.0,0.0,0.0,-98.02878334857056,-229.9790486089544,-0.9797745239969433,0.2001047811463139,0.0,0.0
294,0.0,0.0,0.0,1.0,4.77783430226109e-25,0.0,0.0,0.0,-83.3651654943923,-235.69101456350302,-0.9855871599115597,0.16916852995908227,0.0,0.0
295,0.0,0.0,0.0,1.0,2.317881931062959e-25,0.0,0.0,0.0,-68.37122387846073,-240.46908514244026,-0.9904232382877579,0.13806466010765492,0.0,0.0
296,0.0,0.0,0.0,1.0,2.777565832170767e-25,0.0,0.0,0.0,-53.106370068767205,-244.29432785474148,-0.9942779673537029,0.10682399049857558,0.0,0.0
297,0.0,0.0,0.0,1.0,-9.876821842266018e-26,0.0,0.0,0.0,-37.631089088083144,-247.15158566743116,-0.997147527696073,0.0754774755848428,0.0,0.0
298,0.0,0.0,0.0,1.0,-1.334785926262202e-26,0.0,0.0,0.0,-22.00669974981633,-249.0295370633818,-0.9990290760444822,0.04405617469503279,0.0,0.0
299,0.0,0.0,0.0,1.0,-4.7366977441709587e-26,0.0,0.0,0.0,-6.2951116900925985,-249.9207409013707,-0.9999207480887021,0.012591221258535581,0.0,0.0
300,0.0,0.0,0.0,1.0,-3.8683265205988206e-26,0.0,0.0,0.0,9.441419941227238,-249.82166590064645,-0.9998216603258909,-0.018886208042642058,0.0,0.0
301,0.0,0.0,0.0,1.0,2.31925468994014e-25,0.0,0.0,0.0,25.140541158583538,-248.73270463317522,-0.9987319109360023,-0.050344924164928695,0.0,0.0
302,0.0,0.0,0.0,1.0,-1.4583482326090242e-25,0.0,0.0,0.0,40.740046210377294,-246.65817196812498,-0.9966525796845048,-0.08175375660648765,0.0,0.0
303,0.0,0.0,0.0,1.0,3.050428997761774e-25,0.0,0.0,0.0,56.17812406127194,-243.6062879747506,-0.9935857268525095,-0.11308158429214529,0.0,0.0
304,0.0,0.0,0.0,1.0,-1.6678151632956492e-25,0.0,0.0,0.0,71.39360331048258,-239.589145351425,-0.9895343911953632,-0.14429736640934548,0.0,0.0
305,0.0,0.0,0.0,1.0,8.217882146924342e-25,0.0,0.0,0.0,86.32619457559609,-234.62266150987446,-0.9845025869317343,-0.17537017316457787,0.0,0.0
306,0.0,0.0,0.0,1.0,-6.8049858351905475e-25,0.0,0.0,0.0,100.916729381502,-228.7265155044808,-0.9784952997661714,-0.20626921642979454,0.0,0.0
307,0.0,0.0,0.0,1.0,6.283356028556407e-26,0.0,0.0,0.0,115.10739460788433,-221.92407005655244,-0.9715184819490739,-0.23696388024848467,0.0,0.0
308,0.0,0.0,0.0,1.0,5.312022183419584e-25,0.0,0.0,0.0,128.84196156627863,-214.24227898254435,-0.963579046378976,-0.2674237511711224,0.0,0.0
309,0.0,0.0,0.0,1.0,-1.6007351217231302e-25,0.0,0.0,0.0,142.06600879902953,-205.7115803930223,-0.9546848597529828,-0.29761864838998026,0.0,0.0
310,0.0,0.0,0.0,1.0,-1.2378273822967152e-24,0.0,0.0,0.0,154.7271377173303,-196.365776085557,-0.9448447347721433,-0.32751865364343663,0.0,0.0
